text,intent
Hello! There is a layer of light yellow sticky substance on the wound surface that turns white after applying iodophor.,cause
What to do with hemorrhoids,treatment method
What to do about itching around the outside of the anus?,treatment method
"The rate is way too slow, I eat Wenxin Granules, but the effect has not been very good,",applicable disease
"The symptoms of itchy nose, itchy eyes, and difficulty sigh in the past have improved, but now I constantly cough in the middle of the nightly, and only in the in-between of the soir. today two do not bonk what disease it's?",definition
"Hello, iodine had an abortion this afternoon. The MD prescribed Shuangju Granules for me. I think it is for the treatment of uterine fibroids. Can't waiting to eat before bleeding",applicable disease
"Hello, I would like to ask if Jinze Guanxin Capsule is helpful for heart disease? I want to buy it!",applicable disease
"Have suffered from internal hemorrhoids for seven or eight years. It will be more serious if you work too much or get angry. There will be soy-sized bumps in the inside of the anus, which will hurt after exertion. What remedies can be used to eradicate them?",treatment
Why does my youngster vomit after eating Tongkang tablets,applicable disease
Can Oradexon acetate treat pleurisy,applicable disease
Is it normal for a 2-month-old baby to dance and dance? I'm a little worried that the baby is not ADHD. Seek popular science.,symptoms
What medicine is better for depression with Jieyu Pill,applicable disease
How to now treat OCD will be good,method
"Is it normal for a 19-year-old to have chest pain, or is it a disease?",symptoms
"Hello, what medicine should I take for chronic urinary tract infection?",applicable disease
What's up with the baby's nausea and retching?,disease manifestations
"I am 18 years old and have a girlfriend now, but my penis is short, what should I do",treatment method
Why is mannitol commonly used in nursing?,applicable disease
What is the reason for the baby's drowsiness after a convulsion? Is there any good way to treat this situation?,cause
"Excuse me, what is this buspirone hydrochloride tablet mainly exploited for?",applicable disease
"My husband recently came back from work and said that he had pain in his right chest during the day. Once the pain started, it would last for a long time, and work was affected. Is there any problem with lung function? Excuse me, what is the cause of the pain in the right chest?",cause
My throat does not hurt and I choose the sore throat medicine and the runny nozzle medecine together,usage
Can chemotherapy be corned after resection of rectal malignant tumor? What should I pay attention to?,ask more
"I've only been here twice and it's two months between my periods and now one haven't come. Because I'm an athlete, both times I've been exercising vigorously, execute what.",cause
Hello doctor! I used to have hamper in my hands and fundament and now my back has been cramping for a month.,treatment
Is prenatal yoga useful for seven-month-old pregnant older women? Can it affect the intelligence of the fetus in the future? What should I pay attention to?,ask more
"Doctor, hello, I have a little itching underneath, vulva and inside are itchy, but there is no odor, what's the matter",symptoms
how to treat hydrocephalus,treatment
Do single need surgery if I have uterine fibroids?,method
"The doctor enjoin that my previous medicines can be blockade, but I didn't sleep well last night, what should I do?",treatment method
What's the matter with the leg cramps at night? The calf cramps almost every day at night. Does any mother know what's going on?,symptoms
"I have vitiligo since I was a shaver, and I haven't treated it much. Now this vitiligo has spread,",symptoms
My period has been delayed for many days. I used to be very punctual. I want to know what to do if my period is delayed by 15 days?,disease manifestations
"Dad is in advanced stage of lung cancer. He didn't eat a few days ago, but he ate a lot these days",disease manifestations
My baby is seven months old this year and has a hemangioma on his mouth. The doctor said that freezing can't be cured and surgery is needed. Is there any way to do it? What is the harm of a hemangioma on the mouth of a baby in Inner Mongolia?,symptoms
What's wrong with pulling green poop,cause
on an antibiotic amoxicillin 1000mg morning and night?,usage
What are the risk factors for congenital heart disease?,cause
I have given birth to my baby for 1 month and 8 days. I am breastfeeding. I just went to the hospital to check and said that I have a urinary tract infection. I have 3+ white blood cells. What medicine can I take? Without affecting breast milk ..,treatment
I want to ask which medicine is better for eye pain and inflammation. Bear gall capsules are okay,applicable disease
Are rifampicin capsules and ethambutol hydrochloride tablets a medicine for pleurisy,applicable disease
Perianal inflammation mustiness be liquidated surgically?,method
What to do if the baby has chronic indigestion and diarrhea,treatment
"I forgot to take acarbose tablet before meal today, can I take it after meal?",usage
"My wife is in menopause, and she often loses her temper at home for no reason. Maybe her anger hurts her heart. She was diagnosed with atrial fibrillation in the hospital. What is the cause of atrial fibrillation?",cause
"i felt depressive for many months, I could not breathe, I could not eat, I wept everything day, and sometimes it was because of trivial things, I wanted to subscribe medicine, unity wanted to zisha, ane once slashed my wrist with a deoxyephedrine, and some I've to bring a deep breath and shiver when I talk to others, I do not want to see anyone or even my families",symptoms
"Hello, will the effect of taking Panlong Qi Tablets and Jianli Polysaccharide Chondroitin Calcium Tablets be better for lumbar muscle strain?",applicable disease
Can compound danshen tablets cure dizziness? What can be used to delicacy this disease?,ask more
Can patients with embolism possibly lease Angong Niuhuang Pills? It doesn't matter.,applicable disease
Whereof is COPD,definition
"In the early stage of asthma, wheezing for more than a month, with a history of chronic bronchitis, no wheezing when lying down, wheezing when sitting or standing, not too serious, slightly numb hands, phlegm in the morning, white foam, easy cough The whole body is not very strong.",symptoms
Does Paeoniflorin Capsules work for joint swelling caused by rheumatoid arthritis?,applicable disease
Hello doc! How do you regulate the use of calcium gluconate? Are there any confines?,usage
"The child coughs badly, vomits in sleep, and vomits several times a day.",treatment
There is a fissure in the anus after hemorrhoid OR. It is very painful. How can I cure it?,treatment method
Can't sleep: will hand fat twitch: womb spondylosis,disease manifestations
Do you need to continue taking Wenxin Granules after a course of treatment,usage
"Hello! I would like to ask, my father's blood sugar can't go down??? What kind of medicine do I not use? Can Diabolo capsules work?",method
"Fuyang Epilepsy Key Hospital?? Limbs twitch, face turns blue, foaming at the mouth or grinding teeth and biting the tongue, and short-term memory loss after about three minutes of stopping. Then, effective treatment for epilepsy",ask more
What are the primary manifestations of bronchiectasis?,symptoms
What's the matter with men sometimes urinating pain,cause
"A month ago, there were two small fleshy mote in the anal. today the act has heighten, the texture is hard, and it's not hurtful or itchy. Is it condyloma acuminatum?",symptoms
"Hello, I am a hypertensive patient and I have a headache after taking Pleidin. What's the matter?",cause
What kind of medicine is Alprostadil? How can I treat it better?,ask more
"What to do with insomnia? 4 months of pregnancy, will this affect the baby in the womb?",ask more
What's go on with medulloblastoma,definition
"I always going to the lavatory during the day, and ane want to go after a few minutes, but I do not go to the potty as much at night",disease manifestations
"Which is the best Chongqing Epilepsy Hospital?? I have been dizzy and vomited recently, and suddenly the day before yesterday, my whole body was shaking, and I was foaming at the mouth. Some people said it was epilepsy. I just wanted to know if there is any epilepsy. What symptoms?",ask more
"I have had condyloma acuminatum for half a month, what is the best thing to eat",ask more
What to do if the anus is scratched,ask more
What should I do if my baby has frequent constipation?,treatment
"Excuse me, can Guifu Dihuang Pills, Yaotongning Capsules and Jingfukang Granules be taken together?",usage
"A few days ago, I found that there were one or two small meat pulls growing on both sides of the upper labia majora, which is the kind that grows on other people's ears. Could it be condyloma acuminatum?",disease manifestations
terminate Shensong Yangxin Capsule treat arrhythmia? How many days does a course of treatment take?,ask more
What anti-inflammatory drug is is good for COPD,treatment method
"I have condyloma acuminatum, but I'm afraid it will infect my tyke, 1 and a half years old, I want to ask what should ace pay attention to?",ask more
Baby can use Kangenbei Changyanning syrup,usage
"The fifth metatarsal was broken for 28 days. Today, I suddenly lost my footing. My instinct is to put my toes on the ground. Is there any problem? Thank you!",ask more
The bleeding is heavy after a month of painless abortion. Is it normal to have small blood clots?,disease manifestations
The child is 4 months old and has a strawberry hemangioma on his foot. The red one grows bigger and bigger. We are worried. How to cure the hemangioma of the baby's toe in Inner Mongolia?,treatment method
What should unity do if my baby has diarrhea recently?,treatment
"What are the symptoms of grand mal epilepsy? Each type of chronic disease has seizure symptoms. Only by targeting the symptoms can we make better judgments, detect them in time, and treat them. Then, the symptoms of grand mal epilepsy have some symptoms. What do you believe is the question that most people want to know.",symptoms
What are the manifestations and diagnosis of sweating in the chest?,disease manifestations
"justify me, how should I revenues conjugated estrogen (Hong Lilai) if the ovary secretes minimum estrogen? According to the guidelines, it's 0.3mg, so how should 1 publish 0.3mg? Hurry up~",usage
What should I do if there's heavy hemorrhaging in the stool in forward-looking bowel cancer,symptoms
Uncle Wang next door often pulls my dad to drink and smoke. He was diagnosed with atrial fibrillation these days. I am very worried that this is caused by drinking and smoking. What is the most common cause of atrial fibrillation? What is the cause?,cause
"The child wet the bed 2-3 times, basically has a drier stool every SECONDLY days (smells), spina bifida, sweats on the upper body and head, clear and long urine (more urinary), slightly poorer intelligence, Repeatedly (unendingly) coughing and slight vomiting, a little well-fixed to catch frigidness, sleeping lieu like sleeping on the endure or side, primarily the kid wets the bed 2-3 times at nightly, intermittently (only in raining days) has the wont of anchorage the jazz 4 times, urinating And long (the amount of urine spilled out). The sleep routine is on time (traditionally working to bed at 10:00 in the evening and get up at 1:34 in the morning), will not inflame up in the middle of the night to urinate, rest a small heavy, and like the slumber strength Sleep on your belly or on your side. What should I do?",symptoms
"Recently, I have been experiencing chest tightness and always feel tired. After I arrived at the hospital, the doctor said that I had atrial fibrillation and wanted to take medicine. What is the best medicine for atrial fibrillation? ",treatment
what medicine to guide for mild angina,treatment method
"apologise me for ventricular tachycardia and sinus bradykinesia, can I take Wenxin Granules? Thank you",applicable disease
Is the bleeding normal after colposcopy?,disease manifestations
What causes yellow urine?,cause
"Sincerely asking! Thank you! Four months ago, I was circumcised during the treatment of condyloma acuminatum! Now it is cured! I had sex with my wife three times! The first two times were fine! The third time there was edema at the incision! No pain or itch! What's the situation?",disease manifestations
"Bloated bear, do not coma",method
"Have suffered from acute pericarditis half a year ago. After active treatment, the disease has almost been cured, but recently I have a cold and cough, my chest hurts, and I always sweat. I am afraid that the cold will cause pericarditis again. , Does acute pericarditis cause chest pain?",symptoms
Is it suitable to take Selote paroxetine hydrochloride tablets if you have mild depression?,usage
"Comer too much anthephylline, I spit it out when two drink water, and I ceaselessly sweat, what should I do.",usage
"Hello, I have osteoarthritis and have pain symptoms. The doctor prescribed celecoxib capsules, may I ask, is it a pain reliever?",applicable disease
What's the matter with the baby's big abdomen and black shit,disease manifestations
"Shi Huida and Daiwen have been used together for 5 months, and the blood pressure has dropped. The current level is 12080. I hope to reduce the dosage. How to reduce it is more reasonable",usage
"Hello, can the pain in the limbs and joints be treated with Qianggu Capsules?",applicable disease
"Hello, how to solve urinary incontinence",treatment
"Zaobo eating Wenxin Granules is not very good, what kind of different medicine can be combined with it will have better effect",ask more
occasionally coughed for a month,symptoms
"I have a headache, can iodine take flunarizine hydrochloride capsules?",applicable disease
Can you eat five-dimensional lysine granules during lactation?,treatment
How to treat migraine in pregnancy,treatment
"Thick tongue finishing, dry stool",definition
"Insomnia, I'm very tired and can't fall asleep every day. I can't fall asleep until 3 am. Can I take Qingzhuo Yishen Capsule?",applicable disease
Is it useful to take heart-saving pills when angina pectoris occurs?,treatment method
"What would happen if a patient with a heart attack took a cough pill, he is an elderly person, and has already taken it. Is it serious?",ask more
How to diagnose normal pressure hydrocephalus in the elderly,cause
"lowest yr, the HPV value was found to be high, mainly because of problems with TCT. There is always inflammation, and sometimes there is a peculiar smell. The treatment issue has not been upright, and the value has not reduced. The bottomland is 19. Since I heard this After the news, I was in a very scummy mood for a period of time. I didn't know what to do. How can I dainty a high hpv level? How long does it postulate for the male HPV virus to heal itself?",ask more
"If you want to buy medicine for rake in urine, iodin don't know what to buy, and which medicine is more effective?",applicable disease
"That part hurts very much. Just twisting the sacrum will hurt when you sit anywhere. It's not a kind of episodic pain. It hurts as long as you move that part, and it hurts for about half a month. I went to the hospital for an examination: the bones are not damaged anyway, the bones are all right. I have never hit the buttocks in the past. I used a lot of water to clean the anus when I took a bath. I don't know if it has anything to do with this?",cause
What is the just medicine for hemorrhoids,applicable disease
what's bronchitis,definition
My friend has been taking risperidone oral solution for almost a month. Can this drug be taken for a long time?,usage
What are piles?,definition
"37 weeks pregnant, sometimes have lower abdominal pain, how...",treatment
How to treat urinary tract transmission?,treatment
I wish to ask what're the symptoms of precocious breast cancer?,symptoms
"1 am a patient with variant angina pectoris. I have tried many medicines but no effect. I heard from my friends that using nifedipine tablets will have good upshot, compensate? Will there be any adverse reactions?",applicable disease
I found condyloma acuminatum on the labia during my inspection at the city hospital last week. What can I do to prevent it from recurring? What should I eat more?,ask more
"After single defecate, the mucous membrane protrude from the anus. At first, I will expire back by myself, but gradually unity can't go back by myself. I need to drag it up with my hand to reset it. Mucus ofttimes flows out of the anus. Feeling of incomplete defecation and increased frequency of laxation, I went to the hospital and was diagnosed as rectal spill in the morning. Can I treat rectal shedding in the morning?",treatment method
My blood pressure is really famous and I'm taking the antihypertensive drug valsartan. practise you utilized a contraceptive suppository? Thank you,usage
"One-year-old baby has phlegm in his throat, how to reduce phlegm",treatment method
What should I do if 1 wake up at two or ternary o'clock at night and can't sleep? Is there any way to treat insomnia?,treatment method
"Hello, I have condyloma acuminatum in the treatment process. single didn't fuck that I had sexual contact with my wife. axerophthol a result, I infected her with her. Can we cure it?",method
"The child has anorexia, indigestion, thinness, smelly breath, what is the cause and how to treat it",method
How long should I residue after induction?,treatment
What are the indications for Zoloft? Who can expend it?,applicable disease
How to slake the pain on the upper and cutback sides of the waist and can? How can iodin adaptation it when I'm 2 months pregnant?,method
"My mother-in-law is 74 years old. I heard from a friend that I took Lingxian Jieda Tablets for a week, but I often have leg cramps recently. What should I do?",treatment method
"i have had sore throat and shortness of breath, tight chest since last monday. 8 days later and symptoms are not going away. no runny nose. i have been exposed to travelers. should i go for covid test?",disease manifestations
"Haemorrhoids in the anus, what medicine should Should I use?",treatment method
When will the gestation tryout paper be measured?,usage
"Doctor, hello, how much is the dose of this pharmaceutical, Jijijijiji Oral fluent",usage
"Purchased it at a pharmacy, but the command do not say that children can eat it, how commonly, and can it be eaten?",usage
"How to take care of the baby's hemangioma? The hemangioma growing on my child's finger is a raised, red hemangioma. It will fade when pressed. Is the hemangioma on the finger of an infant in Inner Mongolia dangerous? ?",cause
"Excuse me, this month, the menstrual period is abnormal and only one day is black?",definition
"Doctor, may I go to a physical examination if I have a cold?",treatment
Use Resen Soy Lecithin Essence Granules. Is there any effect on myocardial infarction?,applicable disease
"Hello, doctor, I think my penis is relatively small, I feel inferior, is there any medicine to increase the growth?",applicable disease
What's the affair with anal bleeding?,cause
Can Yaoxitong capsule be taken with Coptis chinensis?,method
Ask a famous doctor to advise family members who have emphysema and pleurisy with a 7cm tumor in the lungs. Is it useful to eat Congcao and Jinshuibao capsules?,applicable disease
"Children often have enuresis, what should parents do?",treatment
"Excuse me, what is the reason for the incision hyperplasia and fluid outflow after breast cancer surgery",cause
"If I haven't slept easily recently, and I feel nervous at night, what should I do?",treatment method
What are the causes of hemorrhoids?,cause
"Hello, I have slow left ventricular diastole and myocardial ischemia. Can I take Wenxin Granules?",applicable disease
What are the symptoms of palpitations,definition
My child is 15 years old and clearly has a small appetite recently. Can he take Huaji Oral Liquid? What age is Huaji Oral Liquid suitable for?,applicable disease
"ECG color ultrasound results, a small amount of tricuspid regurgitation, this is not to use drugs.",treatment
Is the child with cerebral hypoplasia cerebral palsy? How should it be treated? What should I pay attention to?,ask more
"Female child has frequent urination, hospital B-ultrasound, what to do if urine function examination is normal",treatment
I'm sweating and can't sleep when I stop menstruating. What should I pay attention to? In terms of diet and routine,treatment
What's the matter with the baby's bad stomach and black shit,disease manifestations
"Hello, the size of both kidneys is 1.1*0.9, and there is likewise hydronephrosis and kidney gemstone. What should I do?",treatment method
"two months ago, I had cerebral infarction and (high blood pressure), and I was discharged from the hospital. I have been direct blood steadfastness medicines. Nowadays my blood blackjack is 77/22. I have been adopt Tamica for a few days, but it soundless has no effect. Quel is the reason?",disease manifestations
I am prone to insomnia at night when I am 6 months pregnant. I wake up every three or four o'clock. Is there any way to help sleep?,treatment method
What's the matter with blood in the urine?,symptoms
"There is flesh prolapsed from the anus. It hurts. I have hemorrhoids before pregnancy. It's not serious, it's getting heavier and heavier. What should I do?",treatment
A lot of bloody stools are also on the butt-wiping paper,definition
What is the cause of athetosis,cause
What are the adverse reactions of Seridetide? Will Seretide develop genetic drug resistance after using it for a long time? Do I need to take it for a long time to stop emphysema?,ask more
"The child has a fever today on the fifth day, and then went to the hospital for an examination and said that he had bronchitis. When he went there today, he had no fever, but at night it had a fever of 38 degrees, and he was still taking medicine. fen half pack",treatment method
I was found to have genital warts at the beginning of the month. Is there any other more effective treatment besides surgery?,method
What's with the radiant Marxist blood in the anus when I go to the toilet?,definition
How foresighted is the shelf life of Debakin Sodium Valproate Sustained Release Tablets? Can it be used for epilepsy?,ask more
"Hello! I have cystitis, which is cured and relapsed. Why does cystitis recur?",cause
"This has been happening for several days, the tinnitus is always bad, what medicine can I take?",treatment method
"Clozapine Tablets, this medicinal cannot be stopped, flop?! How many years have I been taking it",usage
embody one bottle of this lecithin complexed iodine pills a course of treatment? How many bottles are need for the course of processing? I do not realise. The doctor can assure me about it,usage
What's the issue with spitting blood,disease manifestations
"do i need to get tested for covid-19. living with a person who returned from canada 20/03. dry throat, but do not feel sick?",disease manifestations
"I involve to know about Huquan Qiang Loquat Dew for a largo time, is it okay?",usage
I've been insomnia for a hebdomad and I'm about to crash. What should I do?,treatment
"Hello! I would like to need whether Gliclacide (II) should be taken before, after or with meals?",usage
"A lot of farts every day, what's the matter! Indigestion?",ask more
The 11-year-old child has a pain in his butt after he has diarrhea and bleed. What's the matter?,cause
I want to ask about the best medicine for non-gonococcal urethritis?,treatment method
"My tongue is big and thick with deep teeth marks. Sometimes when I speak, my tongue is heavy and my words are not clear. What's the matter?",cause
"Tongrentang Dieda Pills should be leased at a time, and how long does it withdraw to be effective?",usage
What is the usage or dosage of Ning Yaokang Capsules?,usage
Can people with heart disease take Flunarizine Hydrochloride Capsules? Should it be postulate before or after meals?,usage
"My friend's father, the bother in the anus is unbearable. He get to the hospital for reviewed and aforementioned it was perianal passion. I wants to ask how to summons the perianal inflammation?",method
Does it cause heart palpitations when flying?,cause
"My mother-in-law has been suffering from epilepsy for about a year. When she is sick, she always foams at the mouth and twitches all over her body, which is very scary. She has been taking medicine but the effect is not good. What should I do? How can I cure epilepsy? What is the treatment for epilepsy?",treatment method
"Ok! I would like to ask you a question. My anus has been itching recently for more than like ten years, and my testicles are often itchy. It will be cured with a little external medicine, but it is easy to recur. I don't know what to do, are there any remedies for this?",treatment method
What's the matter with the urethra?,cause
fanny angina cause inability in the limbs,disease manifestations
Whom are the people who are prone to genius perforation,symptoms
Mother-in-law withdraw the compound multi-dimensional element tablet 23. Is it okay to take one tablet every day?,usage
I bought the indomethacin notoginseng borneol suppository but I do not know how to use it. ut I order it immediatly into the anal and wait for the medicine to soften and then thaw in it?,usage
I've been splice for more than a year and haven't paid attention to these few years. I found that the vaginal opening feels granular. Is it condyloma acuminatum?,definition
"10 years old and living an unclean life for the by 34 days, itching all over the body, red commercials on the arms and neck and white posture",disease manifestations
"I checked out the amh value of 1.5 in the hospital yesterday. I want to ask, can I get pregnant with an amh value of 1.5?",definition
Dad frequently feels lumbago and weak feet when he's old. Can he demand sea dragon gum oral liquid?,usage
Quel is facial neuritis,definition
"The old man suffers from emphysema, is it appropriate to continue make the usual Guilongkechuanning aminophylline?",applicable disease
"Had high-risk behavior 9 weeks previous, may I ask the mend if the white dose on the lower end of the penis are condyloma acuminatum?",disease manifestations
"If you want to charter Quyou Sertraline Hydrochloride Tablets, what is the specific way to take it?",usage
"I always have insomnia and poor appetite after gestation. Is there any way to solve it! iodine can't sleep well, and I don't want to eat anymore.",treatment method
"It's been a year for genital herpes, and it happens permanently. Is there a way to launching extricate of it? It's just powerful here, and it do out there again",method
"Hello, doctor, I would like to ask if my stomach is cold and farting in winter. Is again it appropriate to take Guifuli Zhongwan",applicable disease
How can I cure soft external hemorrhoids?,treatment method
"Excuse me, why is my period delayed? What medicine should I take?",ask more
"Excuse me, how to treat blood problems with heavy menstrual flow?",ask more
"The pamper has a cough, panting, and a runny nose, can he coma eel?",usage
"Excuse me, what's wrong with the old man who can't wee? Is there any first aid?",treatment method
The hypertensive patient has recently relapsed bronchitis and has asthma. Can he take aminophylline tablets?,applicable disease
"I ate 3 tablets of Trizolam last night, what should I do?",treatment
"Hello, doctor, I would like to ask what medicine to take for urinary tract infection to heal quickly.",applicable disease
What is cardiopulmonary embolism?,definition
How should a urinary tract infection be treated?,treatment
"Hello! My daughter is a little chuck now, so she stopped victimization Longmu Zhuanggu Granules. They are not tall and don't like to eat. There are a few nights when they sleep and lecture in their quietus. How much? Please reply as soon as possible, thank you!",ask more
"83-year-old male, 4 months of colon cancer to liver cancer, advanced stage, a stent was made in the intestine 2 months ago. The abdomen has a 10 cm long hepatoma. He is currently in the hospital, bedridden, and has been unable to eat , I feel nauseated when I eat, I can only drink water. Please help the doctor to solve it, how to make the patient eat normally, liquid food.",treatment method
"Did the examination, the doctor suggested to install a pacemaker, isn't Wenxin Granule for people with tight heart?",applicable disease
"apologize me, what happened to the vagina after using the gynecological external medication?",symptoms
"Hello doctor, I suddenly found a row of small particles on my labia in the past two days, a lump of flesh above the vaginal opening, smooth and soft, and itching in the vulva. I haven't had intercourse for more than a month. Is it condyloma acuminatum?",disease manifestations
"3-year-old with ulcerative colitis, recurring",disease manifestations
What are the symptoms of petit mal seizures in children? My child is 5 years old. There are often some manifestations of petit mal seizures. My old watch is anxious to see these symptoms of children. What medicine is good for children with epilepsy?,ask more
Why does the baby refuse to eat?,cause
What are the adventure factors for breast cancer,cause
"After 3 days of cerebral infarction, I couldn't urinate. I used to have enlarged prostate. Now I have a urinary catheter. single can urinate for quaternary or five days after commit it out once, but I can't urinate again.",cause
Can colon polyps be cured by surgery? Is there a high chance of recurrence?,ask more
"Excuse me, what should I do if the menstrual period is delayed and the breasts are sore?",treatment method
"At night, I feel a small indigestion in my breadbasket, a little bloated, vomiting, diarrhea and fever",symptoms
"Excuse me, how can I regulate my menstrual current?",treatment method
What are the symptoms of hemorrhagic cerebral infarction,symptoms
"A relative's epilepsy developed with purple lips, foaming at the mouth, and severe spasms. I went to the hospital for treatment, but it didn't work. How to treat epilepsy??",treatment method
"Excuse me, what should I do if the vagina is uneven or politic and occasionally bleeds?",disease manifestations
What medicine to take for urinary tract infection,applicable disease
"After taking a band of mangosteen tea, I went for a physical inspect. My blood sugar is a piffling highest.",usage
How to kickshaw kidney stones and what medicine to take,applicable disease
Are there many typecast of vaginitis?,cause
The old man suffers from laryngeal neurosis and says that taking this citalopram hydrobromide tablet can relieve pain...,applicable disease
"How come there is such a phenomenon, and how to solve the problem of kidney stones?",treatment
"Hello, the doctor may ask you to go to the hospital for an examination. The doctor diagnosed that it is due to myocardial hypoxia. What kind of medicine is good?",treatment method
"Bye, I'd like to ask about my gran who asked me to purchases Guanmaining capsules for him. behave this medicine help with coronary heart disease?",usage
"Hello, can Astragalus injection be used unitedly with Shenmai injection?",usage
"Menstruation is 4 days ahead of schedule. Before I got my period, I had a dull pain in my lower abdomen. I just had my period on the day I went to the hospital. This time, the amount was small, and my lower abdomen was tingling for a while. I wanted to go to the toilet. Is it inflammation?",cause
"Si Miao Pill is taken 2 times a day. Because I didn't read the instructions, I took it 3 times a day. If I take it for 3 days, will there be any adverse effects?",usage
"do you think this corona virus stuff will ever go away? i'm tired of being a prisoner in my own home cause of everything getting cancelled, im not working and i cant volunteer cause of a bad knee and cant lift heavy stuff. so when will this be over?",symptoms
"I've been coughing for a foresightful times. i have been coughs for more than a month, and sometimes it is follow by symptoms of dyspnea. cost it indirect pneumonia? What other manifestation of this ailments? Interstitial Symptoms of pneumonia?",symptoms
I've been brook from bronchitis for a long moment. My face is a scant swollen. I did a pulmonary function try. The doctor said that I've pulmonary obstruction. What's the issues?,definition
"I have been taking Shihuida for more than 6-7 years, and my blood pressure has been a little high recently. Do I need to change the medicine?",applicable disease
Will hemorrhoids cause defecate deformation? Should I do colonoscopy?,ask more
Short penis and what medicines can make penis produce up,applicable disease
"Hello doctor, may I ask what medicine is better for kidney gem? Thank you.",applicable disease
"Hello, my mamas, do I need to engage insulin all the time for diabetes? I am study transfusion sugar pills all the time",usage
Can Anshen Bunao Liquid (Aodong) be used to treat insomnia? potty it be used by hypertensive patients?,applicable disease
"I have had gout for several years, and it has not been cured. equal there any manner to treat it",treatment
"Hello, I have a urinary tract infection. Can ofloxacin capsules be taken by pregnant women?",treatment method
"See a doctor, can't I change the prescription of Shaofu to eat Xuefu Zhuyu Capsules? That's a good effect.",usage
How lang does Phenolamine take outcome?,usage
What is uterine precancer,definition
"Have a headache from the wind, can I take Lianhua Qingwen capsules?",applicable disease
Why does the inward lean of the coccyx fracture cause pain in the greater trochanter of both hips,cause
Is there any medicine specific that can effectively cure ulcerative colitis and colon polyposis?,treatment method
I've been married for more than a year and haven't paid attention to these few days. I found that the vaginal opening feels granular. Is it condyloma acuminatum?,definition
I feel empty after two weeks because of drunken sex,treatment
question about pamper constipation,treatment
"My relative was diagnose with bronchiectasis and hemoptysis at the beginning of endure month. He has been taking eucalyptus, lime and pinene enteric-coated soft capsules for a period of countdown, and there's no spoilt response. There are patches of erythema and small hump, is bronchiectasis and hemoptysis tumors?",definition
crapper I aim Coenzyme Q10 capsules for a long time without any unease?,usage
What is the treatment for pus and blood in the stool?,treatment
Condyloma acuminatum patients seem to grow back after the laser. How to prevent the condyloma acuminatum patients from growing back after the laser. How to prevent it from growing.,treatment
"After drinking Aguiyang blood sugar, my hands and feet broke, can I still drink it?",applicable disease
"I had high-risk sex a while ago. A few days later, some pocket-size things grew on my penis, it was itchy, and there was a serious odor. I yet matt-up uncomfortable after taking a shower every day. ace die to the hospital for examination. Said to have condyloma acuminatum, I would like to ask how to treat it?",method
should i shave my beard to reduce my chances of contracting coronavirus / covid-19?,method
How did you get interstitial pneumonia?,cause
Montmorillonite powder for infant diarrhea,applicable disease
"The internally side of the labia majora is not smooth and there are dim fleshy particles, why? I do not know what it is, but there are fleshy particles on it that confronts similarly condyloma acuminatum, is not it?",disease manifestations
"Some time ago, I always felt chest tightness, and sometimes I felt flustered and fatigued. I went to the hospital for examination and found that I had constrictive pericarditis. What are the characteristics of inflammation?",symptoms
"I twisted my foot last week, why hasn't my swelling gone away down after using Yunnan Baiyao aerosol for a week?",applicable disease
"The child went directly to the pediatrics department for hypoxia when he was first born. After four days of examination, the atrial septal central defect was 3mm. Can it open itself? During the four-dimensional examination, the heart was fine. How can there be an atrial septal vital defect now?",ask more
The child's stool is red,disease manifestations
"My wife is in menopause, and she often loses her pique at home for no argue. Maybe her anger harm her heart. She was diagnosed with atrial fibrillation in the hospital. What is the cause of atrial fibrillation?",cause
How to take Buchang Wenxin Granules (sugar-free)?,usage
Mother-in-law took the compound multi-dimensional element tablet 23. Is it okay to take one tablet every day?,usage
Will my mother wake up at three o'clock at night in the third trimester and can't slumber? Some mothers fuck what to do.,treatment method
Is Gliclazide extended-release tablets for type 2 diabetes? Is the effect good?,applicable disease
iodin am 43 years old this year. I felt a small uncomfortable during this period of time. I operate to the hospital for an examination. The event of the examination was interstitial pneumonia. What is the cause of interstitial pneumonia?,cause
derriere Nuanwei Shule Fortier and 999 Ganmao Granules be taken together?,usage
"Not long ago, I felt breathless and dizzy every time I did housework. After a few days, I decided to go to the hospital for an examination. After the examination, I found out that I had unstable angina. I wanted to know, unstable What are the clinical features of angina pectoris?",disease manifestations
I have condyloma on both the vagina and cervix. Can I use Keyanshu lotion to wash the vulva more than a week after the laser?,ask more
What should I pay attention to after having a superficial depressed adenoma? Will it turn into cancer?,ask more
Is there any drug that can be used for frequent urination? It's better to take effect rather,treatment
What should I do if I have a bad cough from 2 to 3 in the middle of the night?,treatment method
What is paediatric Viral Myocarditis?,definition
Is the je deux grouping of hemangioma 0.9CM*0.8CM serious? What department should I register for? How should I kickshaw it? constitute the hemangioma in the guise of an Inner Mongolia pamper perilous?,method
"Salutations Dr. Anneliese, may I demand that my genitals are very unlike from those of the same eld in a non-erect state? fare this belong to a short penis?",definition
cost it menopause for 6 years of menstrual irregularity?,cause
is it chronic enteritis,definition
I go to the hospital nowadays for a CARAT scan. The MD said that my lungs are abnormal. Can I ask what the disease is?,disease manifestations
"Have a family history of heart disease, how to resolve the condition.",treatment method
